Holiday 	Date 	Day of Week
New Year’s Day (observed) 	December 31, 2021 	Friday
Martin Luther King Jr. Day 	January 17, 2022 	Monday
President's Day 	February 21, 2022 	Monday
Patriot's Day 	April 18, 2022 	Monday
Memorial Day 	May 30, 2022 	Monday
Juneteenth (observed) 	June 20, 2022 	Monday
Independence Day 	July 4, 2022 	Monday
Labor Day 	September 5, 2022 	Monday
Thanksgiving Day 	November 24, 2022 	Thursday
Christmas Day (observed) 	December 26, 2022 	Monday
New Year's Day (observed) 	January 2, 2023 	Monday
